rat,toad
0.70018566,-0.91510236
0.26507252,-0.59769917
0.5763659,-0.91889775
0.8157829,-1.5968897
0.75280315,-1.1218386
0.7356789,-0.9522438
0.3653372,-1.2802861
0.7110028,-0.32657933
0.46830785,-0.78775465
0.8035804,-1.5012261
0.8445438,-1.7472318
0.8171662,-0.75290203
0.95770603,-1.4632828
0.4771995,-0.82734954
1.0512246,-1.9194002
0.15685497,-1.1960856
0.3716395,-0.47048193
-0.279547,-1.4680239
0.6562638,-1.2001293
0.4002555,-1.1335889
1.0857171,-2.1428757
0.29739898,-1.298581
0.51505053,-1.6308839
1.3180344,-1.2014645
-0.18989058,-1.1293108
0.4884684,-0.9384835
0.9610729,-1.3251823
0.2525249,-0.9044049
0.62415004,-1.408972
0.62124705,-1.8859117
1.2557571,-0.80678666
1.2797346,-0.8947523
0.2372811,-1.4955057
0.43648958,-0.71071106
0.8690191,-1.5194476
0.28673702,-0.9690424
0.3776142,-0.40846395
0.7959659,-1.0016642
0.62539595,-0.8438987
1.0467438,-1.5505028
0.6488424,-1.2730867
0.5315627,-1.2815028
0.67462623,-1.3673576
0.69472003,-1.0777589
0.51322556,-1.0732094
0.90269357,-1.2048874
0.21078162,-1.0188565
0.72078204,-1.2876322
0.71568716,-0.8731798
0.7546962,-0.92720556
0.86586064,-1.24863
0.5196677,-0.99088126
0.64661086,-1.5795132
0.5567862,-1.7241824
0.25623184,-0.5531173
0.46266854,-1.698609
1.0448028,-1.625064
1.1193883,-1.9368511
0.8368773,-1.5553136
0.4917245,-0.84048826
1.1862308,-1.5507932
0.57065094,-1.314617
0.27548677,-1.8375316
0.4951707,-1.2567663
0.54451704,-0.6810398
0.34031248,-1.2672672
0.5463929,-1.1394575
1.446139,-1.2084297
0.47780007,-1.0084978
1.162389,-1.7679585
0.77455467,-1.6495494
0.15104215,-0.80070364
0.48670626,-1.1734353
1.4590445,-1.650895
0.6195232,-1.2841146
0.9720671,-2.0510762
1.1331778,-1.1901872
0.8648233,-1.1820852
0.7511279,-1.4261522
0.81026924,-1.6212591
0.7960954,-0.8778432
0.55645895,-1.0996951
0.6015076,-0.90679944
0.43535286,-0.680055
-0.07838162,-0.57671803
0.45264292,-1.1026336
0.32308948,-0.7172667
0.5749683,-1.190756
0.22094874,-1.0232673
0.20601128,-1.1978467
0.2626623,-0.8106918
0.59284234,-1.8139952
0.16216041,-0.6567791
0.8200656,-1.0416831
0.77987003,-1.3402944
0.6887412,-0.8569539
0.55948997,-1.5400944
0.56069887,-0.96980935
0.7029224,-1.1430296
0.6446781,-0.9684535
0.46439642,-1.0752305
0.83083224,-1.6909451
0.5472419,-1.1010978
0.8740226,-1.6848075
0.6062895,-1.5338027
0.6455917,-1.4785262
0.23951931,-1.2617381
0.58366704,-1.5558687
0.68831277,-1.185856
0.025733918,-0.71149033
1.432836,-2.004695
0.8733974,-1.1335297
0.5739896,-1.137204
0.66456974,-0.6645919
1.1353037,-1.7379749
0.67743146,-1.1534412
0.8142064,-1.5043575
0.75613594,-1.7224159
0.3821903,-0.94546854
0.7266735,-1.1847435
0.2482544,-1.4958036
0.33255237,-0.9084946
0.18263648,-0.83863413
0.927572,-1.1487478
0.23710646,-0.65380895
0.5990699,-1.0721871
1.1825609,-2.123657
0.81525016,-1.1027433
0.7752589,-1.1395419
0.24416088,-0.8968922
0.8353113,-0.9264483
1.3879725,-1.5125407
0.318635,-1.3089185
0.35408986,-1.771686
0.26393676,-1.0120434
0.9590316,-1.149154
0.16232271,-0.831428
0.97258997,-1.7920437
0.35976064,-1.0017275
0.005177945,-0.51630425
1.0669696,-1.6563321
0.8587775,-0.9329417
0.26175827,-1.0260657
0.26209337,-0.7371068
1.1343033,-1.3229723
0.2451951,-1.9301368
0.74325955,-1.2521378
0.7988419,-1.4201723
1.1476693,-0.9443196
0.41348213,-1.2685908
-0.04701172,-0.6610701
1.0509341,-1.1950436
0.8804581,-1.3718764
1.2271048,-1.9019179
0.25515288,-1.5240147
0.6510334,-1.085109
0.24494465,-1.0137987
0.40613848,-1.5830435
0.37186927,-0.84535724
0.07838933,-0.95906335
0.026477888,-0.6571015
0.724293,-0.9030919
0.31764007,-0.89790696
0.6125522,-1.5681158
0.60639995,-1.0506845
0.5827843,-1.2743216
0.7043611,-0.86587036
0.9700191,-0.99297625
0.3381716,-0.973809
0.49492425,-0.76159656
0.1104871,-0.49059564
0.31031662,-1.1625326
0.8478943,-1.0132557
-0.008325845,-0.60624886
0.3872528,-0.82806814
0.6709775,-0.68519104
0.9445504,-1.2269406
0.8214411,-1.3029613
1.1588658,-0.4006974
